NIF,Nombre,Apellidos,Teléfono,Email,Aprobado
88473513B,Leocadio,Peralta Feijoo,664010884,regueramanu@example.org,False
13083915C,Modesta,Aparicio Solana,742445785,bibianahoyos@example.com,True
77814061R,Palmira,Busquets Cisneros,791242209,rocio84@example.org,False
54988530S,Andrés Felipe,Ródenas Ferrán,748820291,benjamincrespi@example.org,False
13687696M,Santiago,Marqués Tamayo,697634678,aguadosalud@example.net,True
70136090M,Manuelita,Trillo Almagro,767325208,bayonjoel@example.net,True
39443810Y,Odalis,Guardia Hidalgo,652812248,alvaradovera@example.com,False
47144523C,Eugenio,Múñiz Roura,703470710,javifalco@example.com,False
14367382H,María Manuela,Morera Rey,744324499,albino71@example.com,False
46986271P,Candela,Arnal Gimenez,654446681,njodar@example.com,True
96818193S,Gerónimo,Valbuena Olivé,608758852,xdomingo@example.net,True
88495898V,Bautista,Anguita Aramburu,770548650,rtrillo@example.org,False
17032542F,Prudencia,Coello Soto,642458722,garnau@example.com,True
18606553J,Marina,Hervia Daza,784761216,juana89@example.net,True
81797514S,Rosalva,Pulido Cortina,652280408,aliciamartinez@example.net,True
32562607N,Jacinta,Fabregat Barceló,693326350,priegoclimaco@example.com,True
31891227W,Azahar,Echeverría Cornejo,759025476,sjulian@example.org,True
40503821Q,Violeta,Carrera Páez,686325967,luzrobledo@example.org,False
91683495K,Felix,Leiva Vazquez,656613340,victorino20@example.net,True
55940996M,Araceli,Dueñas Contreras,684112571,anselmocoll@example.com,False
84806346X,Eric,Iniesta Guerrero,654345571,rosalinavalera@example.net,True
44832087G,Anabel,Luján Ibáñez,687614075,edelmiro98@example.com,True
54794704X,Néstor,Camino Gomis,679273417,eladiovalbuena@example.net,True
41678047T,Priscila,Zapata Jiménez,703112111,patriciopriego@example.net,True
95738175P,Ariadna,Camps Galan,603025691,corteslourdes@example.com,True
66795842R,Miguela,Pina Blanca,726604750,vegagaspar@example.com,True
74143551S,Vidal,Mendoza Rocamora,654275493,ricojose-manuel@example.com,False
77350221W,Pánfilo,Izquierdo Hernandez,702568397,bcano@example.net,True
25698418N,Trinidad,Acevedo Vicens,718886915,susana31@example.com,True
82127701Z,Jorge,Bru Escribano,720023417,xfarre@example.net,True
